"","gene","pLI"
"1","MED13",1
"2","NIPBL",1
"3","SMC3",1
"4","CNOT1",1
"5","RLF",1
"6","PCF11",1
"7","FNDC3B",1
"8","TAF1",1
"9","RSF1",1
"10","NCKAP1",1
"11","KDM2A",1
"12","BRD4",1
"13","HELZ",1
"14","FBN1",1
"15","XPO1",1
"16","PRR12",1
"17","USP9X",1
"18","POLA1",1
"19","SYNGAP1",1
"20","PRKDC",1
"21","HDAC4",1
"22","SMG1",1
"23","ZC3H4",1
"24","COL5A1",1
"25","SMARCA4",1
"26","TNPO1",1
"27","AGO1",1
"28","ARHGAP35",1
"29","LRP1",1
"30","TOP1",1
"31","TRIP12",1
"32","KMT2E",1
"33","HCFC1",1
"34","UBTF",1
"35","HUWE1",1
"36","KDM3B",1
"37","TRRAP",1
"38","GRIN2B",1
"39","USP7",1
"40","ATP1A3",1
"41","ASH1L",1
"42","ANKRD17",1
"43","SMC1A",1
"44","NPEPPS",1
"45","CHERP",1
"46","MED13L",1
"47","RPRD2",1
"48","KMT2A",1
"49","CREBBP",1
"50","SF3B1",1
"51","EIF3B",1
"52","PPFIA1",1
"53","ZSWIM6",1
"54","PRPF3",1
"55","KAT6A",1
"56","KMT2B",1
"57","SIN3A",1
"58","CHD2",1
"59","ARID1A",1
"60","GLTSCR1L",1
"61","SCN1A",1
"62","MED12",1
"63","TJP1",1
"64","SPEN",1
"65","WDFY3",1
"66","HDAC6",1
"67","EHMT1",1
"68","JMJD1C",1
"69","MAP3K12",1
"70","GGNBP2",1
"71","CASK",1
"72","TLE3",1
"73","CHD6",1
"74","UBR5",1
"75","EIF4G1",1
"76","NBEA",1
"77","SMARCA5",1
"78","TSC2",1
"79","SUPT5H",1
"80","GREB1L",1
"81","PTCH1",1
"82","CHD7",1
"83","RAD54L2",1
"84","CNOT3",1
"85","AHDC1",1
"86","U2SURP",1
"87","RBM25",1
"88","GIGYF2",1
"89","MBTD1",1
"90","DCAF5",1
"91","SUV420H1",1
"92","RABGAP1",1
"93","KHSRP",1
"94","TM9SF2",1
"95","MATR3",1
"96","PHF21A",1
"97","NAV1",1
"98","HIVEP2",1
"99","OGT",1
"100","RBBP6",1
"101","GTPBP4",1
"102","MYBL1",1
"103","TEX11",1
"104","DYNC1H1",1
"105","SBNO1",1
"106","THOC2",1
"107","PRKCB",1
"108","INO80",1
"109","TAF4",1
"110","FLNA",1
"111","TRIM28",1
"112","CHD8",1
"113","RBM33",1
"114","SNRNP200",1
"115","XPO6",1
"116","SMARCAD1",1
"117","FRMPD4",1
"118","MACF1",1
"119","WAC",1
"120","BRWD3",1
"121","C17orf104",1
"122","ATP2B1",1
"123","EIF4G2",1
"124","ZNF462",1
"125","WDR26",1
"126","CUL4B",1
"127","TRIM33",1
"128","STXBP1",1
"129","TOPBP1",1
"130","NF2",1
"131","TET3",1
"132","MN1",0.99999
"133","SUPT6H",1
"134","RP11-762I7.5",1
"135","NHS",0.99999
